sample_id,asv_id,health,n_reads,rclr
2016_S_SB_D_250,ASV1105,D,0,0
2016_S_SB_D_250,ASV1109,D,0,0
2016_S_SB_D_250,ASV1110,D,0,0
2016_S_SB_D_250,ASV1115,D,0,0
2016_S_SB_D_250,ASV1118,D,0,0
2016_S_SB_D_250,ASV1120,D,0,0
2016_S_SB_D_250,ASV1124,D,0,0
2016_S_SB_D_250,ASV1125,D,0,0
2016_S_SB_D_250,ASV1126,D,0,0
2016_S_SB_D_250,ASV1132,D,0,0
2016_S_SB_D_250,ASV1133,D,0,0
2016_S_SB_D_250,ASV1136,D,0,0
2016_S_SB_D_250,ASV1139,D,0,0
2016_S_SB_D_250,ASV1142,D,0,0
2016_S_SB_D_250,ASV1144,D,0,0
2016_S_SB_D_250,ASV1145,D,0,0
2016_S_SB_D_250,ASV1147,D,0,0
2016_S_SB_D_250,ASV1148,D,0,0
2016_S_SB_D_250,ASV1150,D,0,0
2016_S_SB_D_250,ASV1153,D,0,0
2016_S_SB_D_250,ASV1155,D,0,0
2016_S_SB_D_250,ASV1156,D,0,0
2016_S_SB_D_250,ASV1162,D,0,0
2016_S_SB_D_250,ASV1166,D,0,0
2016_S_SB_D_250,ASV1175,D,0,0
2016_S_SB_D_250,ASV1176,D,0,0
2016_S_SB_D_250,ASV1177,D,0,0
2016_S_SB_D_250,ASV1181,D,0,0
2016_S_SB_D_250,ASV1182,D,0,0
2016_S_SB_D_250,ASV1183,D,0,0
2016_S_SB_D_250,ASV1189,D,0,0
2016_S_SB_D_250,ASV1190,D,0,0
2016_S_SB_D_250,ASV1198,D,0,0
2016_S_SB_D_250,ASV1202,D,0,0
2016_S_SB_D_250,ASV1205,D,0,0
2016_S_SB_D_250,ASV1212,D,0,0
2016_S_SB_D_250,ASV1213,D,0,0
2016_S_SB_D_250,ASV1214,D,0,0
2016_S_SB_D_250,ASV1217,D,0,0
2016_S_SB_D_250,ASV1224,D,0,0
2016_S_SB_D_250,ASV1227,D,0,0
2016_S_SB_D_250,ASV1229,D,0,0
2016_S_SB_D_250,ASV1236,D,0,0
2016_S_SB_D_250,ASV1242,D,0,0
2016_S_SB_D_250,ASV1243,D,0,0
2016_S_SB_D_250,ASV1244,D,0,0
2016_S_SB_D_250,ASV1245,D,0,0
2016_S_SB_D_250,ASV1249,D,0,0
2016_S_SB_D_250,ASV1260,D,0,0
2016_S_SB_D_250,ASV1261,D,0,0
2016_S_SB_D_250,ASV1264,D,0,0
2016_S_SB_D_250,ASV1271,D,0,0
2016_S_SB_D_250,ASV1275,D,0,0
2016_S_SB_D_250,ASV1278,D,0,0
2016_S_SB_D_250,ASV1280,D,0,0
2016_S_SB_D_250,ASV1281,D,0,0
2016_S_SB_D_250,ASV1283,D,0,0
2016_S_SB_D_250,ASV1291,D,0,0
2016_S_SB_D_250,ASV1293,D,0,0
2016_S_SB_D_250,ASV1304,D,0,0
2016_S_SB_D_250,ASV1310,D,0,0
2016_S_SB_D_250,ASV1313,D,0,0
2016_S_SB_D_250,ASV1314,D,0,0
2016_S_SB_D_250,ASV1320,D,0,0
2016_S_SB_D_250,ASV1324,D,0,0
2016_S_SB_D_250,ASV1332,D,0,0
2016_S_SB_D_250,ASV1333,D,0,0
2016_S_SB_D_250,ASV1334,D,0,0
2016_S_SB_D_250,ASV1340,D,0,0
2016_S_SB_D_250,ASV1344,D,0,0
2016_S_SB_D_250,ASV1346,D,0,0
2016_S_SB_D_250,ASV1349,D,0,0
2016_S_SB_D_250,ASV1357,D,0,0
2016_S_SB_D_250,ASV1358,D,0,0
2016_S_SB_D_250,ASV1360,D,0,0
2016_S_SB_D_250,ASV1364,D,0,0
2016_S_SB_D_250,ASV1365,D,0,0
2016_S_SB_D_250,ASV1366,D,0,0
2016_S_SB_D_250,ASV1371,D,0,0
